Index    Fatigue    NT    THT    CT    DT    QmT    TT    THt    Ct    Dt    Tt    THQCr    TCr    C    Si    Mn    P    S    Ni    Cr    Cu    Mo
152    552    870    855    30    30    30    600    30    0    0    60    8    24    0.36    0.3    0.73    0.017    0.016    0.05    1.01    0.19    0.16
14    401    865    865    30    30    30    550    30    0    0    60    24    24    0.34    0.26    0.74    0.012    0.015    0.01    0.02    0.01    0
94    444    825    825    30    30    30    600    30    0    0    60    24    24    0.52    0.29    0.83    0.016    0.025    0.04    0.04    0.02    0
241    425    870    845    30    30    30    650    30    0    0    60    8    24    0.4    0.25    1.34    0.017    0.015    0.02    0.13    0.02    0
408    960    930    30    930    903.333    140    160    0    510    45    120    0    0.5    0.2    0.32    0.77    0.024    0.028    0.46    0.47    0.2    0.19
71    395    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.26    0.76    0.027    0.019    0.01    0.11    0.02    0
195    551    870    855    30    30    30    600    30    0    0    60    8    24    0.41    0.24    0.77    0.014    0.015    0.04    1.06    0.05    0.2
200    527    870    855    30    30    30    600    30    0    0    60    8    24    0.41    0.25    0.74    0.013    0.019    0.05    0.99    0.08    0.16
182    625    870    855    30    30    30    550    30    0    0    60    8    24    0.43    0.26    0.74    0.019    0.012    0.02    1.07    0.02    0.22
262    497    870    845    30    30    30    600    30    0    0    60    8    24    0.42    0.21    1.51    0.026    0.019    0.02    0.12    0.01    0
346    491    870    845    30    30    30    680    30    0    0    60    8    24    0.42    0.25    0.73    0.012    0.021    1.69    0.73    0.09    0.22
29    394    865    865    30    30    30    600    30    0    0    60    24    24    0.38    0.29    0.7    0.01    0.03    0.06    0.09    0.11    0
432    1080    930    30    930    895.812    140    160    0    340.2    70.2    120    0    0.5    0.21    0.31    0.81    0.012    0.019    0.06    1.17    0.07    0.17
400    1110    930    30    930    850    60    200    0    469.8    15    120    0    0.5    0.23    0.35    0.51    0.008    0.012    1.69    0.55    0.11    0.18
393    1056    930    30    930    850    60    160    0    469.8    15    120    0    0.5    0.21    0.29    0.62    0.015    0.016    1.62    0.59    0.07    0.21
101    464    825    825    30    30    30    600    30    0    0    60    24    24    0.52    0.21    0.8    0.021    0.021    0.02    0.1    0.02    0
246    505    870    845    30    30    30    550    30    0    0    60    8    24    0.42    0.23    1.5    0.01    0.009    0.04    0.15    0.05    0
82    534    825    825    30    30    30    550    30    0    0    60    24    24    0.54    0.26    0.76    0.022    0.021    0.02    0.12    0.01    0
242    396    870    845    30    30    30    650    30    0    0    60    8    24    0.4    0.22    1.56    0.011    0.019    0.06    0.09    0.05    0
285    578    900    845    30    30    30    550    30    0    0    60    8    24    0.35    0.26    0.54    0.019    0.003    2.78    0.89    0.05    0
380    768    845    845    30    30    30    420    30    0    0    60    8    24    0.62    0.29    0.88    0.026    0.007    0.05    0.75    0.12    0.03
191    603    870    855    30    30    30    550    30    0    0    60    8    24    0.4    0.25    0.87    0.011    0.015    0.07    1.06    0.11    0.18
424    1120    930    30    930    895.812    60    200    0    499.8    70.2    120    0    0.5    0.23    0.2    0.8    0.013    0.018    0.04    1.14    0.07    0.02
187    606    870    855    30    30    30    550    30    0    0    60    8    24    0.37    0.24    0.69    0.018    0.016    0.02    1    0.02    0.19
208    577    870    855    30    30    30    600    30    0    0    60    8    24    0.4    0.25    0.74    0.014    0.028    0.24    0.96    0.1    0.18
1    232    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.21    0.44    0.017    0.022    0.01    0.02    0.01    0
316    604    870    845    30    30    30    580    30    0    0    60    8    24    0.38    0.26    0.71    0.016    0.017    1.8    0.75    0.04    0.23
292    510    900    845    30    30    30    600    30    0    0    60    8    24    0.32    0.3    0.49    0.008    0.006    2.66    0.82    0.09    0
212    511    870    855    30    30    30    650    30    0    0    60    8    24    0.43    0.26    0.74    0.019    0.012    0.02    1.07    0.02    0.22
78    415    845    845    30    30    30    650    30    0    0    60    24    24    0.49    0.26    0.8    0.027    0.023    0.02    0.09    0.01    0
183    562    870    855    30    30    30    550    30    0    0    60    8    24    0.4    0.26    0.77    0.018    0.005    0.05    0.98    0.13    0.17
106    398    825    825    30    30    30    650    30    0    0    60    24    24    0.56    0.26    0.37    0.019    0.026    0.04    0.13    0.11    0
350    483    870    845    30    30    30    680    30    0    0    60    8    24    0.38    0.29    0.7    0.012    0.008    1.75    0.74    0.07    0.19
250    551    870    845    30    30    30    550    30    0    0    60    8    24    0.42    0.21    1.51    0.026    0.019    0.02    0.12    0.01    0
35    358    865    865    30    30    30    600    30    0    0    60    24    24    0.32    0.21    0.63    0.007    0.017    0.06    0.1    0.08    0
5    225    885    30    30    30    30    30    0    0    0    0    0    0    0.22    0.19    0.42    0.026    0.022    0.01    0.02    0.02    0
225    486    870    845    30    30    30    550    30    0    0    60    8    24    0.39    0.22    1.57    0.017    0.018    0.05    0.13    0.06    0
4    241    885    30    30    30    30    30    0    0    0    0    0    0    0.26    0.23    0.51    0.018    0.024    0.01    0.02    0.01    0
311    497    900    845    30    30    30    650    30    0    0    60    8    24    0.32    0.3    0.52    0.013    0.009    2.67    0.77    0.06    0
426    1074    930    30    930    881.807    60    160    0    90    49.8    120    0    0.5    0.21    0.31    0.81    0.012    0.019    0.06    1.17    0.07    0.17
401    1035    930    30    930    850    60    200    0    469.8    15    120    0    0.5    0.17    0.28    0.55    0.002    0.016    1.64    0.45    0.05    0.16
65    442    845    845    30    30    30    600    30    0    0    60    24    24    0.47    0.25    0.72    0.015    0.01    0.13    0.04    0.04    0
172    477    870    855    30    30    30    650    30    0    0    60    8    24    0.37    0.23    0.82    0.012    0.017    0.04    1.09    0.05    0.16
239    397    870    845    30    30    30    650    30    0    0    60    8    24    0.39    0.22    1.57    0.017    0.018    0.05    0.13    0.06    0
162    550    870    855    30    30    30    600    30    0    0    60    8    24    0.35    0.25    0.7    0.026    0.018    0.01    1    0.02    0.16
72    398    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.24    0.71    0.01    0.009    0.12    0.06    0.13    0
92    468    825    825    30    30    30    600    30    0    0    60    24    24    0.55    0.23    0.76    0.018    0.012    0.01    0.09    0.01    0
437    882    930    30    930    895.812    60    200    0    340.2    70.2    120    0    0.5    0.18    0.25    0.79    0.016    0.015    0.07    1.08    0.08    0.15
382    707    845    845    30    30    30    490    30    0    0    60    8    24    0.63    0.17    0.77    0.026    0.014    0.03    0.81    0.02    0.01
149    573    870    855    30    30    30    550    30    0    0    60    8    24    0.37    0.29    0.76    0.017    0.009    0.12    1.01    0.12    0.16
175    467    870    855    30    30    30    650    30    0    0    60    8    24    0.33    0.27    0.69    0.015    0.008    0.04    0.99    0.05    0.18
210    490    870    855    30    30    30    650    30    0    0    60    8    24    0.41    0.24    0.77    0.014    0.015    0.04    1.06    0.05    0.2
23    379    865    865    30    30    30    550    30    0    0    60    24    24    0.32    0.21    0.63    0.007    0.017    0.06    0.1    0.08    0
86    522    825    825    30    30    30    550    30    0    0    60    24    24    0.57    0.23    0.74    0.018    0.017    0.01    0.12    0.02    0
180    610    870    855    30    30    30    550    30    0    0    60    8    24    0.41    0.24    0.77    0.014    0.015    0.04    1.06    0.05    0.2
130    483    870    855    30    30    30    650    30    0    0    60    8    24    0.43    0.24    0.74    0.022    0.013    0.03    1.12    0.02    0
260    451    870    845    30    30    30    600    30    0    0    60    8    24    0.42    0.21    1.6    0.014    0.015    0.03    0.12    0.07    0
33    375    865    865    30    30    30    600    30    0    0    60    24    24    0.35    0.25    0.82    0.016    0.023    0.03    0.01    0.01    0
119    577    870    855    30    30    30    550    30    0    0    60    8    24    0.42    0.32    0.81    0.014    0.007    0.03    1.09    0.04    0
297    523    900    845    30    30    30    600    30    0    0    60    8    24    0.33    0.3    0.49    0.009    0.006    2.66    0.82    0.06    0
396    1054    930    30    930    850    140    160    0    540    15    120    0    0.5    0.21    0.29    0.62    0.015    0.016    1.62    0.59    0.07    0.21
11    255    885    30    30    30    30    30    0    0    0    0    0    0    0.23    0.26    0.51    0.029    0.024    0.01    0.03    0.03    0
134    459    870    855    30    30    30    650    30    0    0    60    8    24    0.39    0.25    0.73    0.011    0.005    0.06    0.98    0.11    0
220    496    870    855    30    30    30    650    30    0    0    60    8    24    0.4    0.26    0.74    0.024    0.017    0.13    1.01    0.15    0.17
166    497    870    855    30    30    30    650    30    0    0    60    8    24    0.36    0.3    0.73    0.017    0.016    0.05    1.01    0.19    0.16
362    550    870    845    30    30    30    630    30    0    0    60    8    24    0.44    0.25    0.74    0.01    0.009    1.74    0.79    0.09    0
20    416    865    865    30    30    30    550    30    0    0    60    24    24    0.37    0.27    0.78    0.016    0.02    0.01    0.11    0.02    0
73    378    845    845    30    30    30    650    30    0    0    60    24    24    0.44    0.24    0.82    0.021    0.021    0.03    0.02    0.02    0
374    906    845    845    30    30    30    430    30    0    0    60    8    24    0.61    2.05    0.86    0.019    0.014    0.16    0.16    0.12    0
353    463    870    845    30    30    30    680    30    0    0    60    8    24    0.43    0.26    0.68    0.012    0.018    1.62    0.68    0.09    0.17
206    543    870    855    30    30    30    600    30    0    0    60    8    24    0.4    0.25    0.87    0.011    0.015    0.07    1.06    0.11    0.18
174    496    870    855    30    30    30    650    30    0    0    60    8    24    0.35    0.25    0.71    0.02    0.013    0.02    1.06    0.02    0.17
334    512    870    845    30    30    30    630    30    0    0    60    8    24    0.41    0.29    0.74    0.013    0.01    1.84    0.74    0.12    0.22
436    1008    930    30    930    895.812    60    200    0    340.2    70.2    120    0    0.5    0.21    0.26    0.65    0.015    0.024    0.02    0.91    0.01    0.15
298    537    900    845    30    30    30    600    30    0    0    60    8    24    0.28    0.27    0.53    0.019    0.009    2.67    0.87    0.05    0
232    435    870    845    30    30    30    600    30    0    0    60    8    24    0.39    0.22    1.57    0.017    0.018    0.05    0.13    0.06    0
348    469    870    845    30    30    30    680    30    0    0    60    8    24    0.41    0.29    0.74    0.013    0.01    1.84    0.74    0.12    0.22
266    399    870    845    30    30    30    600    30    0    0    60    8    24    0.41    0.22    1.48    0.01    0.007    0.03    0.08    0.06    0
170    459    870    855    30    30    30    650    30    0    0    60    8    24    0.34    0.25    0.72    0.019    0.011    0.12    1.01    0.1    0.17
7    255    885    30    30    30    30    30    0    0    0    0    0    0    0.28    0.27    0.5    0.021    0.018    0.02    0.03    0.01    0
384    874    845    845    30    30    30    430    30    0    0    60    8    24    0.53    1.49    0.69    0.011    0.007    0.02    0.74    0.01    0
251    477    870    845    30    30    30    550    30    0    0    60    8    24    0.45    0.33    1.58    0.008    0.007    0.06    0.1    0.08    0
189    634    870    855    30    30    30    550    30    0    0    60    8    24    0.42    0.28    0.75    0.015    0.008    0.07    1.04    0.12    0.17
425    898    930    30    930    895.812    60    200    0    499.8    70.2    120    0    0.5    0.19    0.21    0.77    0.017    0.011    0.12    1.02    0.16    0.05
314    606    870    845    30    30    30    580    30    0    0    60    8    24    0.4    0.29    0.79    0.022    0.009    1.92    0.96    0.05    0.24
324    643    870    845    30    30    30    580    30    0    0    60    8    24    0.37    0.29    0.76    0.017    0.01    1.88    0.9    0.03    0.24
433    1030    930    30    930    895.812    140    160    0    340.2    70.2    120    0    0.5    0.21    0.26    0.65    0.015    0.024    0.02    0.91    0.01    0.15
117    569    870    855    30    30    30    550    30    0    0    60    8    24    0.42    0.22    0.72    0.016    0.014    0.03    1.06    0.01    0
287    569    900    845    30    30    30    550    30    0    0    60    8    24    0.33    0.3    0.49    0.009    0.006    2.66    0.82    0.06    0
414    854    930    30    930    895.517    60    160    0    100.2    34.8    120    0    0.5    0.21    0.3    0.76    0.021    0.006    0.08    1.09    0.14    0.03
279    460    870    845    30    30    30    650    30    0    0    60    8    24    0.46    0.3    1.49    0.014    0.008    0.1    0.26    0.1    0
398    935    930    30    930    850    140    160    0    540    15    120    0    0.5    0.17    0.28    0.55    0.002    0.016    1.64    0.45    0.05    0.16
335    563    870    845    30    30    30    630    30    0    0    60    8    24    0.39    0.25    0.71    0.015    0.013    1.76    0.82    0.09    0.23
34    389    865    865    30    30    30    600    30    0    0    60    24    24    0.37    0.24    0.72    0.015    0.02    0.02    0.02    0.02    0
387    806    845    845    30    30    30    500    30    0    0    60    8    24    0.54    1.5    0.69    0.013    0.007    0.02    0.74    0.01    0
79    398    845    845    30    30    30    650    30    0    0    60    24    24    0.45    0.25    0.79    0.011    0.025    0.12    0.04    0.15    0
159    530    870    855    30    30    30    600    30    0    0    60    8    24    0.35    0.25    0.8    0.02    0.017    0.08    0.99    0.18    0.19
108    428    825    825    30    30    30    650    30    0    0    60    24    24    0.57    0.23    0.74    0.018    0.017    0.01    0.12    0.02    0
376    678    845    845    30    30    30    500    30    0    0    60    8    24    0.59    1.99    0.92    0.027    0.01    0.01    0.15    0.01    0
366    471    870    845    30    30    30    680    30    0    0    60    8    24    0.47    0.28    0.72    0.011    0.007    1.76    0.79    0.06    0
100    461    825    825    30    30    30    600    30    0    0    60    24    24    0.56    0.25    0.68    0.009    0.023    0.03    0.1    0.03    0
381    745    845    845    30    30    30    490    30    0    0    60    8    24    0.61    0.28    0.87    0.019    0.02    0.08    0.87    0.2    0.05
255    551    870    845    30    30    30    550    30    0    0    60    8    24    0.46    0.3    1.49    0.014    0.008    0.1    0.26    0.1    0
122    522    870    855    30    30    30    600    30    0    0    60    8    24    0.43    0.24    0.74    0.022    0.013    0.03    1.12    0.02    0
69    422    845    845    30    30    30    600    30    0    0    60    24    24    0.42    0.26    0.7    0.024    0.01    0.01    0.1    0.01    0
17    426    865    865    30    30    30    550    30    0    0    60    24    24    0.38    0.29    0.7    0.01    0.03    0.06    0.09    0.11    0
388    720    845    845    30    30    30    500    30    0    0    60    8    24    0.53    1.31    0.75    0.007    0.003    0.04    0.64    0.06    0.01
391    1139    930    30    930    850    60    160    0    139.8    15    120    0    0.5    0.23    0.35    0.51    0.008    0.012    1.69    0.55    0.11    0.18
318    588    870    845    30    30    30    580    30    0    0    60    8    24    0.42    0.25    0.73    0.012    0.021    1.69    0.73    0.09    0.22
121    562    870    855    30    30    30    550    30    0    0    60    8    24    0.4    0.32    0.79    0.013    0.011    0.05    1.09    0.04    0
31    395    865    865    30    30    30    600    30    0    0    60    24    24    0.32    0.26    0.73    0.015    0.019    0.02    0.02    0.03    0
430    1028    930    30    930    895.812    60    160    0    340.2    70.2    120    0    0.5    0.21    0.26    0.65    0.015    0.024    0.02    0.91    0.01    0.15
368    482    870    845    30    30    30    680    30    0    0    60    8    24    0.44    0.25    0.74    0.01    0.009    1.74    0.79    0.09    0
321    609    870    845    30    30    30    580    30    0    0    60    8    24    0.39    0.25    0.71    0.015    0.013    1.76    0.82    0.09    0.23
317    591    870    845    30    30    30    580    30    0    0    60    8    24    0.4    0.33    0.73    0.011    0.012    1.71    0.74    0.08    0.2
397    1190    930    30    930    850    140    160    0    540    15    120    0    0.5    0.23    0.35    0.51    0.008    0.012    1.69    0.55    0.11    0.18
143    572    870    855    30    30    30    550    30    0    0    60    8    24    0.36    0.35    0.74    0.016    0.02    0.05    0.97    0.12    0.15
32    393    865    865    30    30    30    600    30    0    0    60    24    24    0.37    0.27    0.78    0.016    0.02    0.01    0.11    0.02    0
56    504    845    845    30    30    30    550    30    0    0    60    24    24    0.49    0.26    0.8    0.027    0.023    0.02    0.09    0.01    0
435    1104    930    30    930    895.812    60    200    0    340.2    70.2    120    0    0.5    0.21    0.31    0.81    0.012    0.019    0.06    1.17    0.07    0.17
295    540    900    845    30    30    30    600    30    0    0    60    8    24    0.35    0.26    0.54    0.019    0.003    2.78    0.89    0.05    0
214    517    870    855    30    30    30    650    30    0    0    60    8    24    0.41    0.24    0.8    0.015    0.024    0.03    1.02    0.1    0.18
16    426    865    865    30    30    30    550    30    0    0    60    24    24    0.33    0.21    0.75    0.031    0.019    0.01    0.03    0.02    0
365    543    870    845    30    30    30    630    30    0    0    60    8    24    0.49    0.29    0.69    0.014    0.011    1.8    0.77    0.07    0
254    445    870    845    30    30    30    550    30    0    0    60    8    24    0.41    0.22    1.48    0.01    0.007    0.03    0.08    0.06    0
377    770    845    845    30    30    30    500    30    0    0    60    8    24    0.61    2.05    0.86    0.019    0.014    0.16    0.16    0.12    0
193    631    870    855    30    30    30    550    30    0    0    60    8    24    0.4    0.25    0.74    0.014    0.028    0.24    0.96    0.1    0.18
286    537    900    845    30    30    30    550    30    0    0    60    8    24    0.31    0.22    0.56    0.016    0.016    2.63    0.71    0.1    0
8    245    885    30    30    30    30    30    0    0    0    0    0    0    0.27    0.25    0.54    0.02    0.021    0.01    0.02    0.02    0
10    239    885    30    30    30    30    30    0    0    0    0    0    0    0.22    0.26    0.47    0.021    0.023    0.02    0.02    0.01    0
307    476    900    845    30    30    30    650    30    0    0    60    8    24    0.33    0.3    0.49    0.009    0.006    2.66    0.82    0.06    0
347    471    870    845    30    30    30    680    30    0    0    60    8    24    0.38    0.26    0.71    0.016    0.008    1.66    0.72    0.12    0.16
